timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690054963734,48,GET Activity,200,OK,StressTest 1-7,text,true,,289,209,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,48,0,0
1690054963742,40,PUT Activity,200,OK,StressTest 1-5,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,40,0,0
1690054963746,43,POST Activity,200,OK,StressTest 1-11,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,42,0,0
1690054963750,39,DELETE Activity,200,OK,StressTest 1-8,,true,,121,231,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,39,0,0
1690054963746,46,PUT Activity,200,OK,StressTest 1-10,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,46,0,0
1690054963753,56,PUT Activity,200,OK,StressTest 1-6,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,56,0,0
1690054963751,58,DELETE Activity,200,OK,StressTest 1-1,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,58,0,0
1690054963758,67,PUT Activity,200,OK,StressTest 1-2,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/8,67,0,0
1690054963756,69,GET All Activities,200,OK,StressTest 1-12,text,true,,3047,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,69,0,0
1690054963756,69,POST Activity,200,OK,StressTest 1-9,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,69,0,0
1690054963768,57,DELETE Activity,200,OK,StressTest 1-15,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/3,57,0,0
1690054963760,65,DELETE Activity,200,OK,StressTest 1-3,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/2,65,0,0
1690054963769,57,PUT Activity,200,OK,StressTest 1-13,text,true,,274,330,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/9,56,0,0
1690054963778,54,POST Activity,200,OK,StressTest 1-4,text,true,,274,329,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,54,0,0
1690054963779,56,DELETE Activity,200,OK,StressTest 1-14,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/6,56,0,0
1690054963783,52,DELETE Activity,200,OK,StressTest 1-5,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/5,52,0,0
1690054963783,52,PUT Activity,200,OK,StressTest 1-7,text,true,,275,332,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/10,52,0,0
1690054963789,50,GET All Activities,200,OK,StressTest 1-8,text,true,,3048,206,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities,50,0,0
1690054963789,50,GET Activity,200,OK,StressTest 1-11,text,true,,288,208,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/1,50,0,0
1690054963792,47,DELETE Activity,200,OK,StressTest 1-10,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/7,47,0,0
1690054963809,62,DELETE Activity,200,OK,StressTest 1-6,,true,,121,230,15,15,https://fakerestapi.azurewebsites.net/api/v1/Activities/4,62,0,0
